0.000606,-0.000128,0.779868,0.003238,0.023534,-0.070976,0.997195,0.319062,-0.190791,0.179874,0.446640,-0.278292,-0.041495,-0.320937,-0.200741,-0.210048,0.416376,-0.300216,0.093906,-0.005507,-0.171327,1.710336,0.134352,1.171921,-0.009570,0.010702,0.370233,-0.145459,-1.661460,-0.083894,1.117313,-0.096474,-0.048090,-0.306177
0.000581,-0.000132,0.779050,0.004281,0.025333,-0.072340,0.997049,0.327855,-0.198206,0.184836,0.459250,-0.288454,-0.043954,-0.323894,-0.207898,-0.216571,0.427415,-0.309119,0.098462,-0.003684,-0.173126,1.689953,0.146368,1.105940,0.011295,0.072933,0.389798,-0.157902,-1.630177,-0.106887,1.050727,-0.143243,0.016839,-0.312134
0.000502,-0.000116,0.778430,0.005168,0.027121,-0.073670,0.996900,0.334791,-0.204464,0.188445,0.468372,-0.295806,-0.045686,-0.325224,-0.214081,-0.221130,0.434809,-0.315213,0.101665,-0.002039,-0.173161,1.672627,0.160371,1.049303,0.031876,0.127586,0.403975,-0.167827,-1.601738,-0.131723,0.992399,-0.188028,0.073878,-0.313183
0.000311,-0.000061,0.778207,0.005745,0.028887,-0.074932,0.996754,0.338012,-0.208405,0.189348,0.470522,-0.297538,-0.045965,-0.323297,-0.218313,-0.221765,0.434912,-0.315689,0.102164,-0.000748,-0.169664,1.661415,0.178350,1.011354,0.051887,0.167082,0.407374,-0.172718,-1.578986,-0.160245,0.950586,-0.228845,0.115137,-0.304419
0.000106,-0.000007,0.778163,0.006178,0.030457,-0.076022,0.996622,0.340638,-0.211205,0.189747,0.470500,-0.297800,-0.046012,-0.321535,-0.221408,-0.221584,0.433048,-0.314783,0.102254,0.000327,-0.164210,1.652206,0.199336,0.982921,0.071209,0.195250,0.407788,-0.173725,-1.559190,-0.190860,0.918314,-0.265691,0.144286,-0.294295
-0.000106,0.000046,0.778210,0.006540,0.031931,-0.077026,0.996496,0.342967,-0.213433,0.189893,0.469394,-0.297325,-0.045942,-0.319855,-0.223935,-0.220996,0.430201,-0.313187,0.102140,0.001294,-0.157777,1.643997,0.221825,0.959247,0.090186,0.217754,0.406709,-0.172790,-1.540873,-0.222521,0.890812,-0.300553,0.167381,-0.283491
-0.000306,0.000080,0.778362,0.006765,0.033148,-0.077833,0.996392,0.344919,-0.214688,0.189904,0.467038,-0.296136,-0.045865,-0.318703,-0.225500,-0.220097,0.426629,-0.311167,0.101938,0.001991,-0.149043,1.637227,0.246673,0.942379,0.107101,0.230068,0.403587,-0.164079,-1.522616,-0.254983,0.876705,-0.327645,0.173145,-0.280345
-0.000500,0.000106,0.778526,0.006959,0.034296,-0.078574,0.996294,0.346745,-0.215747,0.189896,0.464497,-0.294851,-0.045798,-0.317699,-0.226862,-0.219178,0.423035,-0.309147,0.101736,0.002617,-0.139688,1.630139,0.271791,0.926562,0.123891,0.240600,0.400476,-0.155112,-1.506003,-0.287068,0.863036,-0.353575,0.177625,-0.276109
-0.000681,0.000118,0.778714,0.007093,0.035307,-0.079184,0.996209,0.348318,-0.216418,0.189846,0.461586,-0.293371,-0.045755,-0.316991,-0.227814,-0.218217,0.419394,-0.307124,0.101532,0.003098,-0.129090,1.622419,0.297448,0.912848,0.140434,0.247570,0.397388,-0.145634,-1.492680,-0.318401,0.850245,-0.377181,0.179541,-0.269695
-0.000852,0.000116,0.778908,0.007195,0.036207,-0.079680,0.996137,0.349666,-0.216845,0.189746,0.458525,-0.291817,-0.045725,-0.316508,-0.228503,-0.217300,0.415883,-0.305197,0.101342,0.003453,-0.117567,1.614532,0.323071,0.900107,0.156870,0.252411,0.393993,-0.136063,-1.480562,-0.348458,0.838059,-0.398848,0.180829,-0.263020
